"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Dec 18 07:13:44 GMT 2022","Sun Dec 18 07:13:44 GMT 2022","0","","Test case for e2e flow","","Test case for e2e flow","To open the calender using scroll down action","To open the calender using scroll down action",""
"unknown","Sun Dec 18 07:13:33 GMT 2022","Thu Jan 01 00:00:00 GMT 1970","-1671347613601","","Test case for e2e flow","","Test case for e2e flow","","",""
"passed","Sun Dec 18 07:13:19 GMT 2022","Sun Dec 18 07:13:29 GMT 2022","10695","","Test case for e2e flow","","Test case for e2e flow","To change the background color of note","To change the background color of note",""
"passed","Sun Dec 18 07:14:23 GMT 2022","Sun Dec 18 07:14:37 GMT 2022","14323","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To add items in the note body","To add items in the note body",""
"passed","Sun Dec 18 07:13:33 GMT 2022","Sun Dec 18 07:13:44 GMT 2022","11076","","Test case for e2e flow","","Test case for e2e flow","""before each"" hook for Test case for e2e flow","""before each"" hook for Test case for e2e flow",""
"passed","Sun Dec 18 07:14:13 GMT 2022","Sun Dec 18 07:14:23 GMT 2022","9709","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the note title ","To verify the note title ",""
"passed","Sun Dec 18 07:14:37 GMT 2022","Sun Dec 18 07:14:51 GMT 2022","14415","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To verify the save button functionality","To verify the save button functionality",""
"passed","Sun Dec 18 07:14:09 GMT 2022","Sun Dec 18 07:14:13 GMT 2022","3573","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To create a new note","To create a new note",""
"passed","Sun Dec 18 07:13:29 GMT 2022","Sun Dec 18 07:13:33 GMT 2022","3757","","Test case for e2e flow","","Test case for e2e flow","To change the theme of the app","To change the theme of the app",""
"passed","Sun Dec 18 07:14:51 GMT 2022","Sun Dec 18 07:15:12 GMT 2022","20795","","To test the functionality of colorNote application","","To test the functionality of colorNote application","To edit the saved note","To edit the saved note",""
